4 Datensatz (selbstgeneriert);
;
Datenpunkt;Wert
1;1,23
2;2,34
3;3,45
4;4,5
5;5,67
6;6,78
7;7,89
8;8,9
9;9,01
10;10,12
11;11,23
12;12,34
13;13,45
14;14,56
15;15,56
16;16,78
17;17,89
18;18,9
19;19,01
20;20,12
21;21,23
22;22,34
23;23,45
24;24,56
25;25,57
26;26,78
27;27,89
28;28,9
29;29,01
30;30,12
31;31,23
32;32,43
33;33,45
34;d
35;36,78
36;37,89
37;38,9
38;39,01
39;40,12
40;41,23
41;42,34
42;g
43;43,5
44;44,56
45;45,67
46;46,78
47;47,89
48;48,9
49;49,01
50;50,12
51;51,23
52;52,34
53;53,45
54;54,56
55;55,67
56;56,78
57;57,89
58;58,89
59;58,9
60;59,01
61;60,12
62;61,23
63;62,34
64;63,45
65;64,56
66;65,67
67;66,78
68;3,2
69;4,1
70;5,5
71;7,8
72;4,9
73;6
74;8,2
75;3,7
76;5,1
77;4,4
78;5,8
79;6,2
80;7,1
81;5,8
82;6,2
83;7,1
84;8,6
85;9
86;6,7
87;7,3
88;3,6
89;6,3
90;8,9
91;9,3
92;7,5
93;6,9
94;5,7
95;4,6
96;5,9
97;2,8
98;7,2
99;4,3
100;4,5
;
;
;
;
Bereinigter Datensatz(Maßnahme zur Bereinigung: Zeilen mit nichtnumerischen Werten wurden gelöscht):;
;
Datenpunkt;Wert
1;1,23
2;2,34
3;3,45
4;4,5
5;5,67
6;6,78
7;7,89
8;8,9
9;9,01
10;10,12
11;11,23
12;12,34
13;13,45
14;14,56
15;15,56
16;16,78
17;17,89
18;18,9
19;19,01
20;20,12
21;21,23
22;22,34
23;23,45
24;24,56
25;25,57
26;26,78
27;27,89
28;28,9
29;29,01
30;30,12
31;31,23
32;32,43
33;33,45
35;36,78
36;37,89
37;38,9
38;39,01
39;40,12
40;41,23
41;42,34
43;43,5
44;44,56
45;45,67
46;46,78
47;47,89
48;48,9
49;49,01
50;50,12
51;51,23
52;52,34
53;53,45
54;54,56
55;55,67
56;56,78
57;57,89
58;58,89
59;58,9
60;59,01
61;60,12
62;61,23
63;62,34
64;63,45
65;64,56
66;65,67
67;66,78
68;3,2
69;4,1
70;5,5
71;7,8
72;4,9
73;6
74;8,2
75;3,7
76;5,1
77;4,4
78;5,8
79;6,2
80;7,1
81;5,8
82;6,2
83;7,1
84;8,6
85;9
86;6,7
87;7,3
88;3,6
89;6,3
90;8,9
91;9,3
92;7,5
93;6,9
94;5,7
95;4,6
96;5,9
97;2,8
98;7,2
99;4,3
100;4,5
;
;
;
Modus(Wert): Es gibt keinen, da jeder Wert nur 1 mal vorkommt.;
Mittelwert(Wert): 23,7325;
Median(Wert): 33,45;
Sichprobenvarianz(Wert): 434,8602;
;
;
Modus(Datenpunkt): Es gibt keinen, da jeder Wert nur 1 mal vorkommt.;
Mittelwert(Datenpunkt): 50,755102;
Median(Datenpunkt): 51,5;
Sichprobenvarianz(Datenpunkt): 855,403324;